Country,Date,Event
Western Africa,2014.06,"The Ebola viral disease outbreak began in West Africa in 2014 (the first case was reported in December 2013). Two and a half years later, the outbreak ended after 28,600+ cases and 11,325 deaths. (https://www.cdc.gov/vhf/ebola/history/2014-2016-outbreak/index.html)"
Israel-Palestine,2014.07,"The 2014 Gaza War took place along the Hamas-controlled Gaza Strip and in Israel. Over 2,000 were killed and several thousand more were injured. Both sides claimed victory after the August ceasefire. (https://en.wikipedia.org/wiki/2014_Gaza_War#:~:text=The%20combination%20of%20Palestinian%20rocket,a%20result%20of%20the%20conflict.)"
Nepal,2015.04,"On April 25, 2015, a 7.8 magnitude earthquake, followed by 6.6 and 6.7 magnitude aftershocks struck near Kathmandu, Nepal. Approximately 9,000 people were killed, thousand more were injured, and 600,000+ structures were damaged. (https://www.britannica.com/topic/Nepal-earthquake-of-2015)"
Vanuatu,2015.05,"https://www.worldvision.org/disaster-relief-news-stories/2015-vanuatu-cyclone-pam-facts#:~:text=Fast%20facts%3A%20Cyclone%20Pam%20in%20Vanuatu,-Cyclone%20Pam%20struck&text=Pam%20was%20one%20of%20the,affected%20areas%20were%20wiped%20out."
Myanmar,2017.09,"The second phase of the still ongoing (as of May 2024) Rohingya genocide began late August 2017. This genocide, committed by the military of Myanmar, has included the ethnic and religious persecution of the Muslim Rohingya people, leaving 25,000+ killed by 2018 alone, tens of thousands raped, and 700,000+ refuges abroad. (https://en.wikipedia.org/wiki/Rohingya_genocide#:~:text=The%20UN%20found%20evidence%20of,August%20and%20September%2024%2C%202017.)"
Zimbabwe,2017.11,"https://en.wikipedia.org/wiki/2017_Zimbabwean_coup_d%27%C3%A9tat#:~:text=On%20Sunday%2C%2019%20November%2C%20Mugabe,down%20as%20President%20of%20Zimbabwe."
Northern Europe,2018.06,"maybe: https://en.wikipedia.org/wiki/2018_European_heatwave#:~:text=The%202018%20European%20drought%20and,spring%20and%20summer%20of%202018."
Thailand,2018.06,"https://en.wikipedia.org/wiki/Tham_Luang_cave_rescue#:~:text=In%20June%20and%20July%202018,June%20after%20a%20practice%20session."
Croatia,2018.07,"Croatia finishes as the runners-up after France in the 2018 FIFA World Cup, the highest they have ever finished."
New Zealand,2019.03,"The Christchurch mosque shootings on March 15, 2019 were consecutive mass shootings in Christchurch, New Zealand, during which 51 people were killed. The first attack was the ""first successfully live-streamed far-right terror attack."" The offender was captured before committing his third attack and later recieved New Zealand's first ""life imprisonment without the possibility of parole."" (https://en.wikipedia.org/wiki/Christchurch_mosque_shootings)"
Sri Lanka,2019.04,
Australia,2020.01,"middle of of Australia's ""Black Summer"" (2019-2020 bushfire season) by which point megafires had already burnt or was burning 46.03 million acres and had already killed 480 million mammals, birds, and reptiles--these number would continue to rise. Several species were also believed to have been pushed to extinction during this time (https://en.wikipedia.org/wiki/2019%E2%80%9320_Australian_bushfire_season)"
Iran,2020.01,"On January 8th, 2020, Iran's Islamic Revolutionary Guard Corps launched the ""largest ballistic missile attack ever against Americans."" The 12+ ballistic missiles were fired at two airbases in Iraq as retaliation for the assassination of a major general by a U.S. drone strike. (https://en.wikipedia.org/wiki/Operation_Martyr_Soleimani#:~:text=On%208%20January%202020%2C%20in,Erbil%2C%20in%20response%20to%20the)"
China,2020.03,covid
Myanmar,2021.02,"A coup d'etat in Myanmar on February 1, 2021, resulted in the deposition of ""democratically elected members of the country's ruling party"" by  Myanmar's military, the Tatmadaw. Power was then vested in a military junta, and the Acting President proclaimed a state of emergency and transferred power to the Commander-in-Chief of Defense Services. (https://en.wikipedia.org/wiki/2021_Myanmar_coup_d%27%C3%A9tat#:~:text=A%20coup%20d'%C3%A9tat%20in,power%20in%20a%20military%20junta.)"
Israel-Palestine,2021.05,"The 2021 Israeli-Palestine crisis showed an escalation in the ongoing Israeli-Palestinian confliict. Violence began May 6th and became especially major on May 10th, before a ceasefire was enacted on May 21st. Hundreds were killed and thousands more were injured. (https://en.wikipedia.org/wiki/2021_Israel%E2%80%93Palestine_crisis)"
Finland,2021.06,Salmonella Typhimurium: https://www.foodsafetynews.com/2024/02/most-outbreaks-in-finland-caused-by-norovirus/                   environmental protests: https://www.reuters.com/business/environment/activists-protest-against-norway-arctic-oil-licences-2021-06-24/
Afghanistan,2021.08,"The Taliban took control of Kabul, the capital of Afghanistan, reclaiming power in the countries. This occurred roughly two weeks before U.S. troops were to be removed from the country, ending the war started in 2001. (https://www.history.com/this-day-in-history/kabul-falls-to-taliban-us-withdrawal)"
Kazakhstan,2022.01,"The 2022 Kazakh unrest began on January 2, 2022, due to a sudden price increase for liquefied petroleum gas after the government lifted its price cap the previous day. The peaceful protests in some cities changed to violent riots and subsequent crackdowns in others, seeing 227 killed and 9,900 arrested by a little over a week later. (https://en.wikipedia.org/wiki/2022_Kazakh_unrest#:~:text=country's%20capital%2C%20Astana.-,Violence,of%20at%20least%20one%20individual.)"
Comoros,2022.01,https://www.theguardian.com/football/2022/jan/24/africa-cup-of-nations-cameroon-olembe-stadium-crush
Tonga,2022.01,"On January 15, 2022 the undersea Hunga Tonga-Hunga Ha'apai volcano experienced the largest recorded eruption since Krakatoa's in 1833. This resulted in tsunami waves up to 15m and significant ashfall, which resulted in 3 direct and 1 indirect deaths, 84,176 people affected, and approximately 3,000 people displaced. (https://reliefweb.int/disaster/vo-2022-000005-ton)"
Madagascar,2022.07,"A completely youth-led peaceful protest was held without interruption on July 11, 2022. Led by the Youth and Citizens for Integrity (YCI), the young group lined a major Antananarivo road while holding up anti-corruption signs. (https://www.transparency.org/en/news/youth-day-protesting-fearlessly-madagascar)"
Argentina,2022.12,https://www.espn.com/soccer/story/_/id/39121682/how-argentina-won-2022-world-cup-their-own-words
Niger,2023.08,"A successfel coup d'état occurred in Niger, removing and detaining the President Mohamed Bazoum and resulting in  ongoing control of the country by General Abdourahamane Tchiani's forces. (https://en.wikipedia.org/wiki/Nigerien_crisis_(2023%E2%80%932024)#:~:text=On%2026%20July%202023%2C%20a,and%20detained%20President%20Mohamed%20Bazoum.)"
New Zealand,2023.1,"Auckland received highest rainfall ever recorded for a single month that Januarly (over 45% of its normal yearly rainfall), resulting in severe floods with 4 deaths and hundreds of people displaced. https://niwa.co.nz/news/auckland-suffers-wettest-month-history)"
