countryData,subregion,max_2004,max_2005,max_2006,max_2007,max_2008,max_2009,max_2010,max_2011,max_2012,max_2013,max_2014,max_2015,max_2016,max_2017,max_2018,max_2019,max_2020,max_2021,max_2022,max_2023
Iraq,Western Asia,50,12,9,9,9,5,5,5,5,6,11,7,6,5,4,4,7,4,5,6
Ireland,Northern Europe,12,10,9,9,9,8,8,7,8,6,6,6,9,3,8,5,5,7,7,6
Palestine,Western Asia,11,9,20,7,9,17,11,8,12,7,24,8,8,10,11,8,9,26,8,83
Israel,Western Asia,11,9,20,7,9,17,11,8,12,7,24,8,8,10,11,8,9,26,8,83
Italy,Southern Europe,53,47,55,40,40,39,48,35,38,32,39,30,35,33,35,33,100,67,44,38
Ivory Coast,Western Africa,7,2,13,2,3,3,20,8,3,3,28,5,8,10,6,9,7,9,14,9
Jamaica,Caribbean,12,9,9,8,9,7,8,7,8,6,7,7,8,7,7,7,8,7,6,7
Japan,Eastern Asia,31,28,24,23,23,22,27,100,24,26,33,34,35,40,49,44,36,44,47,40
Jordan,Western Asia,2,2,2,2,2,3,4,4,3,3,3,8,3,2,2,3,2,3,3,4
Kazakhstan,Central Asia,9,9,18,14,15,16,20,22,23,24,32,32,38,59,52,56,58,79,100,75
Kenya,Eastern Africa,43,47,43,40,64,35,40,46,45,77,59,77,71,85,69,64,63,64,100,76
Kosovo,Southern Europe,2,1,1,1,6,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2
Kuwait,Western Asia,3,3,3,4,4,6,5,5,5,5,4,5,5,4,4,4,5,5,6,6
Kyrgyzstan,Central Asia,4,11,3,3,4,3,17,4,4,6,6,7,8,11,9,11,14,10,16,14
Laos,South-Eastern Asia,3,2,2,2,2,4,3,3,3,4,4,3,4,4,4,3,2,2,3,4
Latvia,Northern Europe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lebanon,Western Asia,4,4,14,4,4,4,4,4,4,4,4,4,4,4,4,5,19,4,4,5
Lesotho,Southern Africa,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1
Liberia,Western Africa,3,4,3,2,2,2,2,3,2,2,5,2,2,3,2,2,2,2,3,3
Libya,Northern Africa,2,2,2,2,2,3,4,32,7,3,4,7,3,3,2,3,4,3,2,8
Liechtenstein,Western Europe,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
Lithuania,Northern Europe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
Luxembourg,Western Europe,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
Madagascar,Eastern Africa,15,83,29,17,34,29,15,14,24,14,14,15,14,16,15,21,20,12,14,15
Malawi,Eastern Africa,6,6,8,6,6,5,10,6,8,6,10,7,8,7,8,9,8,8,11,13
Malaysia,South-Eastern Asia,29,28,25,26,28,31,35,37,37,40,89,48,40,46,48,44,43,39,41,42
Mali,Western Africa,5,5,5,5,5,5,7,4,8,24,7,28,6,9,6,8,7,7,10,8
Mauritania,Western Africa,2,4,2,2,2,1,1,1,1,1,1,2,2,2,2,3,3,3,3,2
Mauritius,Eastern Africa,29,27,29,30,30,24,28,28,24,23,24,29,25,28,35,33,31,23,31,30
Mexico,Central America,82,76,73,66,66,79,100,76,71,69,99,69,68,70,85,67,74,78,88,81
Moldova,Eastern Europe,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
Mongolia,Eastern Asia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Montenegro,Southern Europe,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Morocco,Northern Africa,14,16,18,17,17,18,18,17,16,14,15,15,16,15,27,15,14,15,100,29
Mozambique,Eastern Africa,9,8,9,8,8,8,9,8,9,10,11,11,13,12,10,25,10,11,11,14
Myanmar,South-Eastern Asia,5,4,4,14,26,5,6,6,11,11,9,13,11,24,9,10,9,19,9,10
Namibia,Southern Africa,2,2,2,3,3,1,1,2,1,1,1,2,2,2,2,2,2,2,2,4
Nepal,Southern Asia,2,2,2,1,1,2,2,2,2,3,3,12,4,4,5,5,4,5,6,7
Netherlands,Western Europe,26,23,24,19,22,17,29,15,17,12,33,11,11,15,14,13,14,19,21,20
New Zealand,Australia and New Zealand,39,33,27,25,25,24,28,25,21,23,22,23,28,25,24,48,26,27,24,42
Nicaragua,Central America,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,5,4
Niger,Western Africa,2,4,2,2,2,2,3,2,2,2,2,3,3,4,4,2,3,4,3,20
Nigeria,Western Africa,22,23,23,25,27,23,45,36,44,48,100,59,54,49,86,56,52,50,60,58
North Korea,Eastern Asia,1,1,4,1,1,2,5,2,2,15,2,2,2,16,4,1,5,1,2,2
North Macedonia,Southern Europe,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,4,4,2
Norway,Northern Europe,4,4,3,3,3,4,3,7,3,3,3,3,3,3,3,4,3,3,4,4
Oman,Western Asia,1,1,1,2,2,2,2,3,2,2,2,2,2,2,3,3,3,3,4,3
Pakistan,Southern Asia,8,7,5,6,6,8,13,15,15,14,13,13,13,12,13,19,14,15,23,28
Palau,Micronesia,28,39,19,18,18,20,12,15,17,14,14,19,15,8,9,11,9,9,7,8
Panama,Central America,8,7,8,7,7,10,7,7,7,8,8,8,10,6,12,6,5,5,6,9
Papua New Guinea,Melanesia,18,15,17,13,13,14,12,17,16,19,17,24,31,34,27,24,21,22,27,28
Paraguay,South America,3,2,4,2,3,3,8,5,4,3,3,4,3,4,3,6,4,5,6,5
Peru,South America,25,24,22,21,21,18,18,20,15,14,14,16,16,16,21,17,16,20,20,16
Philippines,South-Eastern Asia,38,36,33,32,32,34,41,43,45,64,45,48,48,45,46,46,51,52,69,56
Poland,Eastern Europe,8,9,10,9,9,8,10,7,9,5,6,6,10,8,11,7,10,9,14,8
Portugal,Southern Europe,20,12,16,12,14,12,19,11,15,9,16,9,17,14,36,11,12,21,25,13
Qatar,Western Asia,1,2,2,3,3,3,6,4,4,4,4,5,4,11,6,7,6,10,100,8
Republic of Serbia,Southern Europe,3,3,4,3,5,5,10,5,5,4,4,4,4,4,10,5,4,4,9,5
Republic of the Congo,Middle Africa,3,3,3,2,3,3,2,3,3,3,3,4,5,4,3,3,4,6,5,8
Romania,Eastern Europe,4,4,4,4,5,4,5,4,3,3,3,3,5,4,4,3,3,4,4,3
Russia,Eastern Europe,12,9,10,9,11,9,10,9,11,15,16,17,14,14,45,15,17,14,72,17
Rwanda,Eastern Africa,23,19,14,11,11,12,10,8,8,8,14,9,10,11,10,14,10,11,18,17
Samoa,Polynesia,10,10,8,10,10,28,8,11,8,7,7,10,7,8,7,12,8,7,11,11
San Marino,Southern Europe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
São Tomé and Principe,Middle Africa,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,2,2
Saudi Arabia,Western Asia,7,7,8,7,8,10,9,10,8,9,9,11,11,9,15,10,10,11,28,17
Senegal,Western Africa,8,8,7,8,8,7,7,6,7,5,6,7,7,13,47,20,8,9,32,15
Sierra Leone,Western Africa,2,2,3,3,3,2,2,2,2,2,3,2,1,4,2,2,2,2,4,2
Slovakia,Eastern Europe,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,2,2,2,1
Slovenia,Southern Europe,3,3,2,2,2,2,6,2,2,2,2,2,2,2,3,3,2,3,3,4
Solomon Islands,Melanesia,8,6,13,39,39,4,8,4,6,29,14,5,16,6,4,8,5,11,17,7
Somalia,Eastern Africa,14,13,19,18,22,33,15,34,15,15,14,14,15,17,14,13,11,13,14,13
Somaliland,Eastern Africa,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1
South Africa,Southern Africa,28,25,22,21,21,22,100,22,22,23,23,23,23,24,37,23,27,30,27,48
South Korea,Eastern Asia,4,3,4,2,2,3,6,3,4,6,6,4,7,8,12,11,10,9,17,11
South Sudan,Eastern Africa,1,1,1,1,1,1,2,13,5,11,9,5,10,6,4,4,4,4,4,6
Spain,Southern Europe,59,46,44,37,37,30,43,30,34,28,35,27,27,27,50,32,46,43,42,34
Sri Lanka,Southern Asia,5,5,2,2,2,3,3,3,3,3,4,5,4,6,5,12,5,5,9,9
Sudan,Northern Africa,3,3,3,3,3,4,4,5,4,4,4,4,4,3,4,6,3,4,4,9
Suriname,South America,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sweden,Northern Europe,7,7,8,5,6,5,5,5,6,4,4,5,5,5,11,4,6,7,6,6
Switzerland,Western Europe,22,21,20,18,18,16,19,16,14,13,14,13,15,14,20,14,17,22,16,13
Syria,Western Asia,2,2,3,3,3,4,4,6,8,17,6,16,9,17,18,7,5,4,5,8
Taiwan,Eastern Asia,4,3,2,2,2,2,2,2,2,2,2,3,3,4,3,3,3,5,9,7
Tajikistan,Central Asia,2,2,2,2,2,2,2,3,3,4,4,6,5,5,6,6,9,8,10,9
Thailand,South-Eastern Asia,77,69,53,49,49,55,56,64,62,67,74,73,81,83,100,76,70,69,77,81
The Bahamas,Caribbean,6,6,5,5,5,4,4,4,3,3,3,3,3,5,4,14,3,3,3,3
Togo,Western Africa,2,5,18,2,2,2,4,1,2,2,2,2,2,3,3,3,5,3,3,3
Trinidad and Tobago,Caribbean,3,3,8,3,3,3,3,2,3,2,2,3,2,2,2,2,2,2,2,2
Tunisia,Northern Africa,6,7,10,7,8,9,10,18,9,8,8,13,7,7,14,9,6,8,13,8
Turkey,Western Asia,17,19,20,19,32,21,23,21,19,21,20,23,36,17,27,25,23,27,29,55
Turkmenistan,Central Asia,3,3,5,3,3,3,3,4,3,4,4,6,5,5,5,7,8,6,7,13
Uganda,Eastern Africa,15,15,15,15,15,13,17,15,28,15,20,18,26,29,41,31,28,32,35,38
Ukraine,Eastern Europe,4,3,4,3,5,6,7,6,7,7,19,11,7,8,9,9,8,9,100,18
United Arab Emirates,Western Asia,4,4,4,5,6,5,5,5,5,5,5,6,6,6,5,6,7,8,9,8
United Kingdom,Northern Europe,100,75,60,54,54,57,62,43,42,41,39,38,42,43,37,37,50,44,41,38
United Republic of Tanzania,Eastern Africa,18,17,16,15,15,13,16,16,16,18,20,24,24,22,22,26,21,27,27,34
United States of America,Northern America,61,51,45,40,42,35,36,33,35,31,36,31,56,35,36,37,100,37,40,35
Uruguay,South America,4,4,3,3,3,6,13,7,4,5,14,5,5,5,19,7,4,5,8,5
Uzbekistan,Central Asia,7,12,5,5,5,5,6,8,8,11,14,15,21,21,27,28,21,23,29,28
Vanuatu,Melanesia,47,17,25,15,15,15,12,13,11,8,9,62,14,14,11,16,11,8,8,11
Venezuela,South America,12,13,12,12,12,12,13,12,11,11,13,8,11,12,12,18,8,8,11,10
Vietnam,South-Eastern Asia,36,33,29,33,37,60,64,75,65,62,67,56,54,55,84,77,62,80,71,63
Western Sahara,Northern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,Western Asia,1,1,1,1,1,2,2,2,2,2,3,6,3,4,2,2,2,2,2,3
Zambia,Eastern Africa,8,7,7,7,7,7,8,10,15,9,13,14,20,16,15,16,14,18,20,23
Zimbabwe,Eastern Africa,18,19,14,17,37,19,16,17,18,26,20,22,28,55,30,28,17,16,17,21
